Rep,Treat,SPP,Clone,Row,Col,ID #,1997_Height,1997_Diam,1998_Height,1998_Diam,1999_Height,1999_Diam,2000_Height,2000_Diam,2001_Height,2001_Diam@3cm,2001_Diam@10cm,2002_Height,2002_Diam,2003_Height,2003_Diam@10cm,2003_DBH,2004_Height,2004_Diam@10cm,2004_DBH,2005_Height,2005_Diam@10cm,2005_DBH,2006_Height,2006_DBH,2007_Height,2007_DBH,2008_Height,2008_DBH,Notes,Comment1,Comment2,Comment3
1,1,A,216,R,13,4440,43,0.64,192,2.016,221,3.7,260,3.95,378,4.34,4.08,436,4.30,543,4.52,3.64,700,4.6,3.7,699,4.7,3.85,705,4,783,4.30,813,4.5,02: Dead? & broken off; 03: Growing,,,
1,1,B,B,R,12,4439,36,0.41,120,1.14,220,2.46,276,2.92,325,3.48,3.29,408,3.60,431,3.85,2.52,460,4.1,2.78,527,4.2,2.98,563,3.1,630,3.32,637,3.41,,,,
1,1,A,216,R,11,4438,57.5,0.66,189,2.333,225,3.97,270,4.46,307,4.49,4.43,340,4.58,390,4.74,2.77,395,4.7,2.86,459,4.8,2.87,449,2.85,469,2.90,466,2.89,08: Hgt v,,,
1,1,B,B,R,10,4437,24,0.35,53,0.996,127,1.94,141,2.08,158,2.28,2.1,177,2.07,182,2.17,,190,2.1,,193,2.1,0.57,189,0.55,193,0.60,188,0.6,,,,
1,1,A,216,R,9,4436,61.5,0.85,249,2.488,295,4.7,348,5.59,498,6.1,5.78,610,6.30,716,7.42,5.53,860,7.9,6.11,850,8.5,6.68,869,7.15,900,8.01,1017,8.53,08: Dia remeasured,,,
1,1,B,B,R,8,4435,47.5,0.48,40,0.731,,,,,,,,,,,,,,,,,,,,,,,,,99: Dead,,,
1,1,A,216,R,7,4434,31,0.45,187,1.913,245,3.88,299,4.20,306,4.74,4.58,443,5.06,543,5.73,4.41,660,6.5,4.94,778,6.7,5.16,758,5.5,826,5.95,924,6.3,,,,
1,1,A,216,S,8,4447,16,0.23,136,1.565,199,2.54,287,3.02,327,3.1,3.12,346,3.25,351,3.25,,450,4.3,,,,,,,,,,,05: Dead  ,,,
1,1,B,B,S,9,4448,48,0.48,134,1.576,253,2.78,300,3.15,335,3.51,3.1,410,3.76,466,4.08,2.67,625,4.50,3.11,577,5,3.51,641,3.85,686,4.50,707,4.88,,,,
1,1,A,216,S,10,4449,52,0.63,164,2.335,217,3.75,254,4.29,314,4.55,4.16,353,4.17,422,4.65,3.03,515,4.7,3.15,473,4.7,3.16,531,3.15,514,3.21,510,3.21,,,,
1,1,B,B,S,11,4450,37,0.57,130,2.054,232,3.86,264,4.35,329,5.03,4.59,425,4.90,455,5.13,3.19,610,5.3,3.55,553,5.6,3.78,606,3.95,723,4.80,774,5.08,"02: broken off at base, dead? 03: growing; ",,,
