"","Rep","Treat","Clone","E.Clone","Row","Col","ID","sap_init_height","sap_init_diam","sap_final_height","sap_final_diam","tree_final_height","tree_final_DBH","height_growth","diam_growth"
"1588","3","2","216","","16","L","3332",34,0.32,63,0.72,983,6.02,982.28,5.3
"1589","3","2","216","E216","15","L","3331",24,0.35,37,0.77,892,4.92,891.23,4.15
"1590","3","2","216","","15","M","3346",29,0.4,57,0.7,904,6.28,903.3,5.58
"1591","3","2","271","E271","16","M","3347",34,0.42,63,0.91,1150,8,1149.09,7.09
"1592","3","2","216","","17","M","3348",23,0.28,50,0.69,1256,8.72,1255.31,8.03
"1595","3","2","216","","20","M","3351",43,0.47,83,0.76,1314,10.2,1313.24,9.44
"1596","3","2","271","","21","M","3352",46,0.44,83,0.76,1259,8.81,1258.24,8.05
"1597","3","2","216","E216","22","M","3353",36,0.39,45,0.71,1262,6.99,1261.29,6.28
"1598","3","2","42E","","23","M","3354",35,0.31,40,0.57,680,3.8,679.43,3.23
"1599","3","2","42E","","23","N","3368",34,0.19,33,0.38,819,4.76,818.62,4.38
"1600","3","2","216","E216","22","N","3367",34,0.35,41,0.72,816,5.64,815.28,4.92
"1601","3","2","271","","21","N","3366",30,0.33,67,0.65,1255,8.72,1254.35,8.07
"1604","3","2","216","","18","N","3363",29,0.36,40,0.73,919,6.04,918.27,5.31
"1605","3","2","216","","17","N","3362",21,0.29,25,0.56,708,5.84,707.44,5.28
"1608","3","2","8L","","15","O","3374",31,0.27,50,0.64,1353,15,1352.36,14.36
"1609","3","2","216","","16","O","3375",34,0.4,26,0.72,633,4.1,632.28,3.38
"1610","3","2","42E","","17","O","3376",30,0.28,41,0.5,1351,8.65,1350.5,8.15
"1611","3","2","216","","18","O","3377",37,0.28,26,0.57,837,7.32,836.43,6.75
"1614","3","2","8L","","21","O","3380",26,0.24,26,0.3,1351,10.52,1350.7,10.22
"1616","3","2","271","","23","O","3382",30,0.45,74,0.61,1162,6.62,1161.39,6.01
"1621","3","2","216","E216","19","P","3392",33,0.43,41,0.66,863,6.56,862.34,5.9
"1623","3","2","42E","","17","P","3390",34,0.39,33,0.56,1210,9.59,1209.44,9.03
"1624","3","2","216","","16","P","3389",32,0.37,30,0.71,564,4,563.29,3.29
"1625","3","2","8L","","15","P","3388",53,0.44,72,0.7,1182,8.25,1181.3,7.55
"1627","3","2","42E","","16","Q","3403",28,0.33,62,0.58,792,5.3,791.42,4.72
"1628","3","2","271","","17","Q","3404",38,0.34,85,0.73,1164,7.21,1163.27,6.48
"1630","3","2","42E","","19","Q","3406",35,0.33,38,0.58,1312,9.78,1311.42,9.2
"1634","3","2","216","E216","23","Q","3410",25,0.32,25,0.7,1000,6.52,999.3,5.82
"1637","3","2","216","E216","20","R","3421",35,0.43,38,0.71,914,6.65,913.29,5.94
"1638","3","2","42E","","19","R","3420",45,0.44,43,0.77,1087,8.45,1086.23,7.68
"1640","3","2","271","","17","R","3418",49,0.4,88,0.78,1311,10.78,1310.22,10
"1641","3","2","42E","","16","R","3417",31,0.29,64,0.62,889,8.6,888.38,7.98
"1642","3","2","271","E271","15","R","3416",32,0.27,67,0.88,1214,9.19,1213.12,8.31
"1643","3","2","8L","","15","S","3429",20,0.19,20,0.25,1251,10.38,1250.75,10.13
"1645","3","2","216","","17","S","3431",38,0.42,73,0.82,1219,9.61,1218.18,8.79
"1649","3","2","42E","","21","S","3435",37,0.4,36,0.63,1020,5.71,1019.37,5.08
"1650","3","2","271","","22","S","3436",24,0.2,72,0.7,1111,6.8,1110.3,6.1
"1654","3","2","216","","17","T","3444",33,0.44,32,0.63,883,6.56,882.37,5.93
"1656","3","2","8L","","15","T","3442",26,0.24,26,0.35,650,5.6,649.65,5.25
"1659","3","2","271","E271","17","U","3456",40,0.47,80,0.97,1388,12.29,1387.03,11.32
"1660","3","3","216","","18","B","3545",31,0.47,47,0.76,563,3.23,562.24,2.47
"1662","3","3","271","","16","B","3543",24,0.24,64,0.73,908,5.81,907.27,5.08
"1664","3","3","271","","15","C","3554",36,0.36,91,0.82,962,7.31,961.18,6.49
"1666","3","3","216","","17","C","3556",30,0.31,72,0.69,334,2.59,333.31,1.9
"1667","3","3","216","","18","C","3557",21,0.33,21,0.46,301,1.61,300.54,1.15
"1669","3","3","271","","20","C","3559",51,0.57,118,1.09,1045,9.51,1043.91,8.42
"1673","3","3","271","","20","D","3571",22,0.41,58,0.76,927,5.43,926.24,4.67
"1674","3","3","216","","19","D","3570",29,0.4,27,0.55,412,2.28,411.45,1.73
"1675","3","3","271","","18","D","3569",32,0.45,98,1,1034,7.4,1033,6.4
"1678","3","3","271","","15","D","3566",21,0.28,70,0.72,1006,7.02,1005.28,6.3
"1679","3","3","271","","15","E","3579",25,0.33,66,0.76,996,7.43,995.24,6.67
"1681","3","3","271","","17","E","3581",30,0.38,81,0.9,1053,7.71,1052.1,6.81
"1682","3","3","271","","18","E","3582",37,0.41,92,0.81,1038,7.5,1037.19,6.69
"1686","3","3","271","","22","E","3586",26,0.4,70,0.77,943,5.5,942.23,4.73
"1689","3","3","271","","22","F","3600",29,0.43,90,0.88,994,7.3,993.12,6.42
"1694","3","3","271","","17","F","3595",42,0.44,95,0.93,1026,7.26,1025.07,6.33
"1695","3","3","42E","","16","F","3594",28,0.34,54,0.7,1010,6.92,1009.3,6.22
"1696","3","3","271","","15","F","3593",31,0.33,55,0.67,998,7.04,997.33,6.37
"1698","3","3","216","","16","G","3608",23,0.38,23,0.52,585,3.3,584.48,2.78
"1699","3","3","8L","","17","G","3609",29,0.32,45,0.53,1178,9.58,1177.47,9.05
"1701","3","3","216","","19","G","3611",50,0.52,48,0.77,419,3.56,418.23,2.79
"1702","3","3","216","","20","G","3612",48,0.58,93,0.95,892,4.92,891.05,3.97
